Key,Value
BPM,60.0000
StartTime,10.8854
scoreCounter,44.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player8OnsetTimes,12.0678,14.6670,16.0811,17.1588,18.0125,18.8352,19.7885,20.8884,22.0602,23.1748,24.2062,25.1795,26.1637,27.1911,28.2602,29.3317,30.3903,31.4154,32.4269,33.4421,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player9OnsetTimes,12.4200,14.5171,15.6693,16.8511,18.0125,19.0658,20.0090,20.9479,21.9472,23.0249,24.1270,25.2130,26.2631,27.2684,28.2602,29.2847,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player10OnsetTimes,12.2652,14.8637,16.1272,17.0641,17.8916,18.7754,19.8040,20.9479,22.1060,23.1748,24.1606,25.1327,26.1481,27.2064,28.2912,29.3472,30.3743,31.3847,32.4117,33.4571,34.5045,35.5489,36.5851,37.6050,38.6417,39.6884,40.7389,41.7873,42.8342,43.8630,44.8991,45.9389,46.9804,48.0246,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player11OnsetTimes,12.1898,14.7881,16.1115,17.0960,17.9216,18.7897,19.8040,20.9326,22.0911,23.1748,24.1757,25.1477,26.1481,27.1911,28.2756,29.3472,30.3903,31.4002,32.4117,33.4421,34.4892,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1095,51.1457,52.1955,54.3575,55.4422,56.4654,57.4734,58.4970,59.5347
Player12OnsetTimes,12.4814,14.5783,15.6839,16.8209,17.9665,19.0361,20.0275,20.9790,21.9795,23.0394,24.1270,25.1962,26.2482,27.2684,28.2756,29.3003,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player13OnsetTimes,12.1296,14.7274,16.0811,17.1130,17.9665,18.8206,19.8040,20.9176,22.0759,23.1748,24.1912,25.1639,26.1481,27.1758,28.2602,29.3472,30.4051,31.4154,32.4117,33.4252,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player14OnsetTimes,12.0374,14.6373,16.0661,17.1588,18.0293,18.8503,19.7885,20.8730,22.0436,23.1748,24.2062,25.1795,26.1637,27.1911,28.2602,29.3317,30.3903,31.4154,32.4269,33.4421,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player15OnsetTimes,12.5112,14.6073,15.6839,16.8060,17.9519,19.0361,20.0275,20.9790,21.9795,23.0394,24.1270,25.1962,26.2482,27.2684,28.2756,29.3003,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player16OnsetTimes,12.1593,14.7570,16.0961,17.1130,17.9519,18.8049,19.7885,20.9030,22.0759,23.1905,24.2062,25.1639,26.1481,27.1758,28.2602,29.3472,30.4051,31.4154,32.4117,33.4252,34.4742,35.5333,36.5851,37.6205,38.6566,39.6884,40.7238,41.7721,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player17OnsetTimes,12.5415,14.6220,15.6839,16.7914,17.9366,19.0199,20.0275,20.9941,21.9795,23.0249,24.1122,25.1962,26.2482,27.2684,28.2756,29.3003,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player18OnsetTimes,12.4200,14.5171,15.6693,16.8511,18.0125,19.0658,20.0090,20.9479,21.9472,23.0249,24.1270,25.2130,26.2631,27.2684,28.2602,29.2847,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player19OnsetTimes,13.1087,14.6670,15.3132,16.3809,17.7838,19.1647,20.2883,21.1617,21.9630,22.8879,23.9785,25.1639,26.3086,27.3450,28.3064,29.2690,30.2813,31.3535,32.4439,33.5044,34.5357,35.5489,36.5538,37.5758,38.6260,39.6884,40.7542,41.8027,42.8342,43.8630,44.8991,45.9389,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
Player20OnsetTimes,12.7267,14.8202,15.7449,16.6982,17.7992,18.9562,20.0574,21.0686,22.0436,23.0249,24.0549,25.1327,26.2253,27.2838,28.3064,29.3155,30.3268,31.3696,32.4269,33.4729,34.5045,35.5333,36.5692,37.6050,38.6417,39.6884,40.7389,41.7873,42.8342,43.8630,44.8991,45.9389,46.9959,48.0405,49.0774,50.1095,51.1457,52.1955,54.3575,55.4422,56.4654,57.4734,58.4970,59.5347
Player21OnsetTimes,13.3802,14.9425,15.3919,16.2527,17.6009,19.0828,20.3368,21.2515,22.0129,22.8574,23.9152,25.1166,26.3086,27.3764,28.3373,29.2690,30.2666,31.3378,32.4439,33.5198,34.5511,35.5489,36.5538,37.5758,38.6260,39.6884,40.7389,41.7873,42.8342,43.8630,44.8991,45.9389,46.9804,48.0246,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5116,59.5347
Player22OnsetTimes,12.4352,14.5171,15.6547,16.8362,17.9974,19.0508,20.0090,20.9625,21.9630,23.0249,24.1270,25.2130,26.2631,27.2684,28.2602,29.2847,30.3440,31.4002,32.4439,33.4729,34.5045,35.5333,36.5692,37.6050,38.6566,39.7089,40.7542,41.7873,42.8189,43.8630,44.9160,45.9551,46.9959,48.0405,49.0774,50.1249,51.1601,52.1955,54.3260,55.4105,56.4502,57.4888,58.5275,59.5505
