Key,Value
BPM,60.0000
StartTime,11.4581
scoreCounter,51.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player18OnsetTimes,13.3920,15.4583,16.3257,17.1732,18.1927,20.6189,21.8379,22.3612,23.7157,24.7755,25.6561,26.5141,27.4920,28.5941,29.7367,30.8212,31.8203,32.7708,33.7383,34.7478,35.7937,36.8489,37.8701,38.8621,39.8599,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player19OnsetTimes,13.4281,14.9875,15.8322,17.0280,18.4240,19.7478,20.8086,21.9720,23.4110,24.7755,25.9160,26.8144,27.6355,28.5454,29.6042,30.7488,31.8693,32.9040,33.8577,34.7958,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9393,43.9707,44.9919,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3670,65.3715,66.3489
Player20OnsetTimes,14.5828,15.1036,15.6182,17.8040,19.3390,20.0849,20.8328,22.6240,24.0124,24.8730,25.5356,26.3128,27.3620,28.6060,29.8333,30.9050,31.8323,32.7210,33.6678,34.7118,35.7937,36.8611,37.8826,38.8621,39.8365,40.8408,41.8740,42.9143,43.9484,44.9564,45.9658,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2690,61.2736,62.2980,63.3264,64.3366,65.3395,66.3331
Player21OnsetTimes,12.6699,15.2602,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1928,24.4987,25.7771,26.8626,27.7671,28.6300,29.5795,30.6527,31.7840,32.8800,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player22OnsetTimes,12.8646,15.4470,16.7117,17.5742,18.3242,20.1576,21.2801,22.1296,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0706,52.1073,53.1564,54.1895,55.2052,56.2044,57.2198,58.2490,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player23OnsetTimes,12.6097,15.1988,16.6386,17.6836,18.4837,20.1694,21.1707,22.0223,23.1806,24.4987,25.7890,26.8751,27.7783,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7879,37.8341,38.8864,39.9216,40.9245,41.9219,42.9267,43.9484,44.9684,45.9884,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player24OnsetTimes,13.0427,15.1155,16.2429,17.3425,18.4363,19.5336,21.6312,22.9489,23.7875,24.4266,25.2609,26.3842,27.6586,28.8698,29.9044,30.8091,31.7002,32.6720,33.7383,34.8337,35.8904,36.8976,37.8701,38.8498,39.8599,40.8887,41.9219,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player25OnsetTimes,12.6838,15.2721,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1806,24.4857,25.7649,26.8508,27.7671,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player26OnsetTimes,12.8767,15.4583,16.7117,17.5623,18.3128,20.1694,21.2919,22.1415,23.2168,24.4389,25.6928,26.8144,27.7783,28.6776,29.6171,30.6527,31.7486,32.8319,33.8577,34.8337,35.8055,36.7997,37.8226,38.8621,39.8974,40.9126,41.9219,42.9267,43.9346,44.9564,45.9884,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player27OnsetTimes,13.1044,15.1741,16.2548,17.3192,18.3986,19.5042,21.6431,22.9850,23.8109,24.4266,25.2489,26.3729,27.6586,28.8811,29.9166,30.8091,31.6875,32.6600,33.7269,34.8337,35.9023,36.8976,37.8581,38.8260,39.8365,40.8887,41.9466,42.9734,43.9707,44.9564,45.9658,46.9854,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
