Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player81OnsetTimes,22.4264,25.0314,25.9671,26.5539,26.9696,27.3678,28.3182,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.2622,34.3530,35.0820,35.5342,35.8563,36.2300,36.7566,37.3949,38.0358,38.5977,39.0671,39.5104,40.0020,40.5499,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player82OnsetTimes,24.4178,24.9380,25.4616,26.1010,26.8652,27.5744,28.1071,28.6273,29.2292,29.8695,31.1135,31.8424,32.2000,32.4969,33.6103,34.3349,34.8041,35.2567,35.7884,36.3671,36.9503,37.4845,37.9822,38.4706,38.9944,39.5304,40.0761,40.6200,41.1443,41.6427,42.1453,42.6776,43.2230,43.7627,44.3051,44.8344,45.3567,45.8617,46.3819,46.9225,47.4705,48.0058,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player83OnsetTimes,22.6176,25.2185,26.0060,26.4514,26.8401,27.7602,28.3182,28.7142,29.1770,30.3518,31.0096,31.3972,32.2525,32.8662,33.3905,34.3176,34.9442,35.4118,35.8397,36.3151,36.8473,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player84OnsetTimes,22.3761,24.9778,25.9416,26.5681,27.0105,27.3993,28.2836,28.9426,29.4268,30.2812,30.7665,31.2057,32.4254,33.1919,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0187,37.4320,37.8929,38.4343,39.0122,39.5820,40.1112,40.6200,41.1264,41.6427,42.1637,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player85OnsetTimes,22.4004,24.9910,25.9416,26.5539,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9281,38.5800,39.1379,39.5992,40.0388,40.5159,41.0552,41.6427,42.2188,42.7505,43.2409,43.7275,44.2501,44.8004,45.3567,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2671,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player86OnsetTimes,22.3631,24.9649,25.9416,26.5813,27.0246,27.3993,28.2664,28.9249,29.4268,29.8695,30.8367,31.5747,32.1293,32.6377,33.8568,34.4907,34.7866,35.1369,35.6803,36.3482,37.0187,37.5892,38.0535,38.4706,38.9396,39.4924,40.0761,40.6375,41.1617,41.6626,42.1637,42.6776,43.2230,43.7802,44.3226,44.8344,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player87OnsetTimes,23.2044,25.2984,25.6636,26.4266,27.0496,27.5256,27.9335,29.0503,29.7823,30.1206,30.5481,31.6259,32.3905,32.8486,33.2622,34.2122,34.9252,35.4646,35.8905,36.3151,36.8112,37.3949,38.0004,38.5622,39.0671,39.5482,40.0388,40.5499,41.0915,41.6427,42.1831,42.7123,43.2230,43.7449,44.2692,44.8004,45.3392,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player88OnsetTimes,22.5665,25.1779,26.0060,26.4896,26.8781,27.7430,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2166,32.8318,33.3731,34.3530,34.9966,35.4285,35.8047,36.2639,36.8290,37.4495,38.0358,38.5622,39.0310,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player89OnsetTimes,23.1248,25.2185,25.6344,26.0743,26.7247,27.4607,28.1071,28.7142,29.3364,29.9252,31.0283,31.7294,32.1477,32.5309,33.7489,34.4565,34.8382,35.2038,35.7169,36.3482,36.9837,37.5384,38.0188,38.4887,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4186,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2034,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player90OnsetTimes,22.6431,25.2456,26.0196,26.4514,26.8269,27.7430,28.3182,28.7142,29.1770,30.3518,31.0096,31.3805,32.2334,32.8662,33.3905,34.3176,34.9442,35.4118,35.8397,36.3151,36.8473,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player91OnsetTimes,22.4764,25.0835,25.9791,26.5281,26.9290,27.7430,28.2488,28.6450,29.1568,30.4396,31.1135,31.4322,32.1477,32.7443,33.3366,33.8933,34.5631,35.3448,36.0621,36.5953,36.9837,37.3582,37.8401,38.4343,39.0671,39.6501,40.1494,40.6028,41.0739,41.5919,42.1637,42.7303,43.2763,43.7976,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player92OnsetTimes,22.4516,25.0570,25.9671,26.5407,26.9565,27.3507,28.3000,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.2622,34.3530,35.0820,35.5342,35.8563,36.2300,36.7566,37.3949,38.0358,38.5977,39.0671,39.5104,40.0020,40.5499,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player93OnsetTimes,22.4136,25.0044,25.9416,26.5539,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9107,38.5622,39.1200,39.5992,40.0563,40.5327,41.0739,41.6427,42.1993,42.7303,43.2409,43.7449,44.2692,44.8004,45.3392,45.8792,46.4186,46.9406,47.4522,47.9713,48.4978,49.0374,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player94OnsetTimes,22.5012,25.1098,25.9791,26.5019,26.9036,27.7602,28.2836,28.6780,29.1568,30.3696,31.0452,31.4142,32.2334,32.8486,33.3905,33.8739,34.5065,35.2949,36.0451,36.6135,37.0187,37.3949,37.8572,38.4168,39.0310,39.6157,40.1494,40.6200,41.0915,41.6095,42.1637,42.7303,43.2763,43.7976,44.3051,44.8004,45.3198,45.8617,46.4186,46.9588,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player95OnsetTimes,22.4889,25.0973,25.9791,26.5147,26.9168,27.7602,28.2664,28.6616,29.1568,30.4034,31.0791,31.4142,32.1660,32.7801,33.3731,33.9098,34.5631,35.3289,36.0268,36.5607,36.9663,37.3758,37.8745,38.4537,39.0489,39.6157,40.1299,40.6200,41.1098,41.6263,42.1637,42.7123,43.2578,43.7802,44.2862,44.8004,45.3392,45.8792,46.4186,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player96OnsetTimes,24.2349,25.2837,25.8041,26.1931,26.7116,27.3507,28.0037,28.6780,29.3540,29.9598,31.0283,31.6948,32.1123,32.5135,33.7489,34.4732,34.8382,35.1875,35.6803,36.3151,36.9663,37.5384,38.0188,38.4706,38.9571,39.4924,40.0563,40.6200,41.1617,41.6626,42.1637,42.6776,43.2067,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player97OnsetTimes,22.3500,24.9514,25.9416,26.5941,27.0376,27.3993,28.2488,28.9065,29.4100,29.8695,30.8729,31.6083,32.1477,32.6203,33.8210,34.4732,34.8041,35.1534,35.6803,36.3482,37.0187,37.5892,38.0535,38.4706,38.9396,39.4924,40.0761,40.6375,41.1617,41.6626,42.1637,42.6776,43.2230,43.7802,44.3226,44.8344,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
