Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player19OnsetTimes,23.6765,25.2456,25.7623,26.1803,26.7371,27.3833,28.0204,28.6780,29.3540,29.9598,31.0283,31.6948,32.1123,32.5135,33.7662,34.4907,34.8570,35.2038,35.6967,36.3151,36.9663,37.5548,38.0535,38.5060,38.9748,39.4924,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player20OnsetTimes,22.5539,25.1639,26.0060,26.4896,26.8781,27.7430,28.2836,28.6780,29.6426,30.2451,30.5650,31.4856,32.2334,32.7965,33.3366,34.3712,35.0474,35.4822,35.8213,36.2300,36.7760,37.4143,38.0358,38.5800,39.0489,39.5104,40.0203,40.5663,41.1264,41.6791,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player21OnsetTimes,23.3082,24.8706,25.4482,26.1412,26.9290,27.6233,28.1235,28.6273,29.2292,29.8899,31.1661,31.8954,32.2166,32.7443,33.3015,34.4077,35.1160,35.5157,35.8213,36.2120,36.7760,37.4320,38.0709,38.6155,39.0671,39.5104,40.0020,40.5499,41.1264,41.6986,42.2188,42.7123,43.2067,43.7275,44.2862,44.8344,45.3747,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player22OnsetTimes,22.8816,24.9649,25.5652,26.1931,26.9036,27.5575,28.0732,28.6273,29.2646,29.9252,31.1306,31.8255,32.1818,32.4969,33.6459,34.3899,34.8570,35.2753,35.7706,36.3482,36.9503,37.5217,38.0358,38.5060,38.9944,39.5304,40.0947,40.6375,41.1617,41.6626,42.1637,42.6956,43.2409,43.7802,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5352,49.0739,49.5986,50.1034,50.6100,51.1434,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0934
Player23OnsetTimes,22.4264,25.0314,25.9671,26.5539,26.9696,27.3678,28.3182,28.9978,29.4642,30.2285,30.6769,31.6083,32.2866,32.7621,33.7662,34.3176,34.6846,35.1534,35.7706,36.4202,37.0187,37.5217,37.9822,38.4537,38.9748,39.5304,40.0947,40.6375,41.1443,41.6427,42.1453,42.6776,43.2230,43.7802,44.3226,44.8344,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4187,56.9658,57.5026,58.0147,58.5346,59.0577
Player24OnsetTimes,22.9433,25.0314,25.5790,26.1678,26.8652,27.5409,28.0895,28.6450,29.2822,29.9252,31.1135,31.8085,32.1818,32.5135,33.6625,34.3899,34.8382,35.2567,35.7706,36.3671,36.9663,37.5217,38.0188,38.4887,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4349,46.9588,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player25OnsetTimes,22.9186,24.9910,25.5652,26.1803,26.8903,27.5575,28.0895,28.6450,29.2822,29.9252,31.1306,31.8255,32.1818,32.4969,33.6459,34.3899,34.8382,35.2567,35.7706,36.3671,36.9663,37.5217,38.0188,38.4887,38.9944,39.5304,40.0761,40.6200,41.1443,41.6626,42.1831,42.7123,43.2409,43.7627,44.2862,44.8185,45.3567,45.8987,46.4349,46.9588,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player26OnsetTimes,22.8012,24.8847,25.5392,26.2320,26.9565,27.5904,28.0732,29.1036,29.7488,30.0664,30.5650,31.7294,32.4778,32.8662,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0361,37.4495,37.8929,38.4168,38.9944,39.5820,40.1299,40.6375,41.1264,41.6263,42.1453,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player27OnsetTimes,22.8012,24.8847,25.5392,26.2320,26.9565,27.5904,28.0732,29.1036,29.7488,30.0664,30.5650,31.7294,32.4778,32.8662,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0361,37.4495,37.8929,38.4168,38.9944,39.5820,40.1299,40.6375,41.1264,41.6263,42.1453,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player28OnsetTimes,22.9969,25.0835,25.5923,26.1412,26.8269,27.5256,28.1071,28.6780,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
