Key,Value
BPM,60.0000
StartTime,188.7219
scoreCounter,23.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player31OnsetTimes,190.2706,192.3626,193.4768,194.4401,195.4269,196.4972,197.6011,198.6841,199.7101,200.7065,201.6975,202.7209,203.7616,204.8154,205.8605,206.8875,207.8960,208.9031,209.9271,210.9586,211.9953,213.0354,214.0543
Player32OnsetTimes,189.9309,192.0392,193.3996,194.6088,195.6575,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player33OnsetTimes,190.2559,192.3626,193.4920,194.4553,195.4269,196.4810,197.5852,198.6688,199.7101,200.7065,201.6975,202.7209,203.7616,204.8154,205.8605,206.8875,207.8960,208.9031,209.9271,210.9586,211.9953,213.0354,214.0543
Player34OnsetTimes,189.9636,192.0546,193.3996,194.5936,195.6422,196.6058,197.5545,198.5617,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player35OnsetTimes,190.4350,192.5332,193.5227,194.3612,195.3037,196.4339,197.6323,198.7609,199.7738,200.7065,201.6500,202.6738,203.7465,204.8304,205.8771,206.8875,207.8805,208.8877,209.9271,210.9749,212.0106,213.0354,214.0543
Player36OnsetTimes,190.0492,192.1324,193.4150,194.5471,195.5808,196.5746,197.5697,198.5924,199.6492,200.7065,201.7434,202.7685,203.7936,204.8154,205.8295,206.8569,207.8960,208.9348,209.9588,210.9749,211.9953,213.0190,214.0543
Player37OnsetTimes,189.9474,192.0546,193.4150,194.6088,195.6422,196.5901,197.5380,198.5466,199.6329,200.7241,201.7747,202.7841,203.7780,204.7840,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player38OnsetTimes,190.1150,192.2104,193.4464,194.5325,195.5335,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player39OnsetTimes,190.1942,192.3000,193.4768,194.4863,195.4725,196.5127,197.5852,198.6536,199.6946,200.7065,201.7126,202.7366,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player40OnsetTimes,190.0153,192.1174,193.4150,194.5627,195.5971,196.5901,197.5697,198.5769,199.6329,200.7065,201.7594,202.7841,203.7936,204.8003,205.8138,206.8569,207.9116,208.9524,209.9740,210.9749,211.9798,213.0039,214.0396
Player41OnsetTimes,189.8590,192.4726,193.8965,194.7933,195.4725,196.2767,197.3504,198.5924,199.8053,200.8647,201.7897,202.6899,203.6689,204.7377,205.8450,206.9190,207.9422,208.9184,209.9115,210.9435,211.9953,213.0354,214.0543
Player42OnsetTimes,192.0063,192.5332,193.0533,194.7006,195.9788,196.8377,197.5221,198.3313,199.4011,200.6289,201.8207,202.8764,203.8087,204.7224,205.7069,206.7802,207.8805,208.9524,209.9740,210.9586,211.9492,212.9724,214.0226
Player43OnsetTimes,190.1942,192.3000,193.4768,194.4863,195.4725,196.5127,197.5852,198.6536,199.6946,200.7065,201.7126,202.7366,203.7780,204.8154,205.8450,206.8726,207.8960,208.9184,209.9427,210.9749,212.0106,213.0354,214.0543
Player44OnsetTimes,190.3459,192.4424,193.5078,194.4087,195.3656,196.4656,197.6169,198.7155,199.7418,200.7065,201.6828,202.7045,203.7616,204.8304,205.8771,206.8875,207.8805,208.8877,209.9271,210.9749,212.0106,213.0354,214.0543
Player45OnsetTimes,190.0990,192.1954,193.4464,194.5325,195.5335,196.5436,197.5697,198.6233,199.6794,200.7241,201.7434,202.7525,203.7616,204.8003,205.8450,206.8875,207.9116,208.9184,209.9271,210.9586,211.9953,213.0354,214.0695
Player46OnsetTimes,190.2706,192.3626,193.4768,194.4401,195.4269,196.4972,197.6011,198.6841,199.7101,200.7065,201.6975,202.7209,203.7616,204.8154,205.8605,206.8875,207.8960,208.9031,209.9271,210.9586,211.9953,213.0354,214.0543
Player47OnsetTimes,192.0212,192.5480,193.0688,194.7006,195.9621,196.8232,197.5221,198.3476,199.4158,200.6289,201.8207,202.8764,203.8087,204.7224,205.7069,206.7802,207.8805,208.9524,209.9740,210.9586,211.9492,212.9724,214.0226
Player48OnsetTimes,190.7257,192.3000,193.0841,194.0993,195.3656,196.6824,197.8365,198.7775,199.6329,200.5512,201.6044,202.7366,203.8573,204.8935,205.8605,206.8259,207.8345,208.8877,209.9588,211.0044,212.0272,213.0354,214.0396
Player49OnsetTimes,190.0492,192.1324,193.4150,194.5471,195.5808,196.5746,197.5697,198.5924,199.6492,200.7065,201.7434,202.7685,203.7936,204.8154,205.8295,206.8569,207.8960,208.9348,209.9588,210.9749,211.9953,213.0190,214.0543
Player50OnsetTimes,190.5125,192.0873,193.0210,194.1926,195.5031,196.7603,197.8214,198.7155,199.5868,200.5512,201.6357,202.7685,203.8732,204.8935,205.8605,206.8259,207.8345,208.8877,209.9588,211.0044,212.0272,213.0354,214.0396
Player51OnsetTimes,189.8246,192.4424,193.8810,194.7933,195.4881,196.2923,197.3504,198.5769,199.7894,200.8647,201.8053,202.7045,203.6689,204.7377,205.8450,206.9190,207.9422,208.9348,209.9271,210.9435,211.9798,213.0190,214.0543
