Key,Value
BPM,90.0000
StartTime,130.9850
scoreCounter,45.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player25OnsetTimes,132.7137,134.2744,134.9050,136.4839,137.4327,137.8611,138.5358,139.3517,140.2099,141.8490,142.5755,142.9870,143.9654,144.6703,145.2484,146.4680,147.1718,147.6344,148.0961,149.3803,150.1886,150.7104,151.1745,151.7552,152.5057,153.3393,154.1428,154.8499,155.4808,156.1130,156.7882,157.5158,158.2800,159.7901,160.5242,161.1454,161.7928,162.4832,163.2262,163.9738,164.6887,165.3650,166.0312,166.6970,167.3953,168.1019
Player26OnsetTimes,132.5596,134.6491,135.3905,135.9020,137.0777,137.9239,138.5204,139.2865,140.1457,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8342,155.4961,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player27OnsetTimes,132.1451,134.2284,135.2791,136.1064,136.7837,138.2014,139.0174,139.5918,140.0999,141.3981,142.2211,142.9710,143.7273,144.4672,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player28OnsetTimes,132.5904,134.6790,135.4053,135.9020,137.0620,137.9085,138.5204,139.3030,140.1629,141.8817,142.6527,143.0471,143.9351,144.6106,145.2173,146.5290,147.2498,147.6666,148.0817,149.3342,150.1574,150.7264,151.2047,151.7702,152.4904,153.3087,154.1275,154.8499,155.4961,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player29OnsetTimes,132.5596,134.6491,135.3905,135.9020,137.0777,137.9239,138.5204,139.2865,140.1457,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8342,155.4961,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player30OnsetTimes,132.1931,134.2744,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player31OnsetTimes,132.1617,134.2435,135.2791,136.0899,136.7676,138.2163,139.0483,139.6070,140.0999,141.3680,142.1827,142.9563,143.7435,144.4827,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player32OnsetTimes,132.1931,134.2744,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player33OnsetTimes,133.1093,134.6790,135.0137,135.9812,136.8481,137.6346,138.4042,139.3849,140.3331,141.1331,142.4375,143.3853,143.9964,144.4360,145.5638,146.3454,146.8367,147.9708,148.6905,149.1020,149.8731,150.6146,151.3049,151.9759,152.6458,153.3241,154.0328,154.7581,155.4808,156.1743,156.8690,157.5644,158.2800,159.7427,160.4706,161.1301,161.8239,162.5535,163.2781,163.9738,164.6506,165.3331,166.0312,166.7273,167.4256,168.1019
Player34OnsetTimes,132.2238,134.3064,135.2956,136.0595,136.7202,138.2014,139.0638,139.6363,140.1148,141.3374,142.1367,142.9256,143.7435,144.5166,145.2791,146.0125,146.7083,147.5284,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
