Key,Value
BPM,120.0000
StartTime,107.3142
scoreCounter,64.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,108.9462,110.7969,111.4716,112.2090,112.7958,113.6255,114.1969,114.7495,115.2697,116.2297,116.8565,117.3823,118.0710,118.6304,119.2845,119.9096,120.4524,121.0248,121.5543,122.0823,122.6108,123.1381,123.6662,124.1956,124.7225,125.2488,125.7789,126.3079,126.8318,127.3586,127.8846,128.4133,128.9446,129.4697,129.9984,130.5290,131.0568,131.5874,132.1164,132.6444,133.1722,133.7023,134.2306,134.7601,135.2882,135.8140,136.3386,136.8651,137.3921,137.9188,138.4459,138.9764,139.5051,140.0342,140.5632,141.0916,141.6217,142.1478,142.6808,143.2080,143.7363,144.2659,144.7934,145.3175
Player14OnsetTimes,109.2528,110.8208,111.1967,112.2136,112.9295,113.4344,113.8796,114.5350,115.2880,115.9771,117.0560,117.7668,118.1509,118.6931,119.1705,120.1502,120.7642,121.1161,121.4181,121.8818,122.5134,123.1821,123.7840,124.2807,124.7157,125.1829,125.7065,126.2718,126.8510,127.3991,127.9170,128.4070,128.9067,129.4309,129.9881,130.5446,131.0873,131.5986,132.1056,132.6230,133.1556,133.6954,134.2336,134.7615,135.2918,135.8113,136.3337,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1529,142.6848,143.2124,143.7296,144.2482,144.7757,145.3217,145.8661
Player15OnsetTimes,108.8989,110.9934,111.6299,112.4014,112.8060,113.5418,114.0750,114.6542,115.2571,116.4449,116.9941,117.3649,118.1988,118.7519,119.1860,120.0739,120.6739,121.0840,121.4487,121.9281,122.5286,123.1509,123.7363,124.2471,124.7157,125.1990,125.7237,126.2718,126.8356,127.3833,127.8953,128.3912,128.9067,129.4457,129.9881,130.5279,131.0560,131.5827,132.1056,132.6230,133.1556,133.6954,134.2336,134.7615,135.2768,135.7958,136.3186,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3068,145.8354
Player16OnsetTimes,109.0527,110.6163,111.1348,112.4626,113.2317,113.5567,114.0111,114.5787,115.2284,116.5198,117.1013,117.4124,118.0889,118.6054,119.6467,120.1952,120.4542,121.0840,121.6065,122.0851,122.5597,123.0741,123.6236,124.1834,124.7313,125.2598,125.7717,126.2877,126.8044,127.3350,127.8789,128.4235,128.9539,129.4612,129.9722,130.4956,131.0404,131.5827,132.1206,132.6385,133.1556,133.6804,134.2190,134.7615,135.2918,135.8113,136.3186,136.8417,137.3736,137.9052,138.4362,138.9746,139.5008,140.0268,140.5441,141.0716,141.6008,142.1376,142.6848,143.2124,143.7296,144.2482,144.7757,145.3068,145.8354
Player17OnsetTimes,108.5926,110.6786,111.5306,112.1536,112.6395,113.7654,114.4138,114.8447,115.2115,116.1143,116.7053,117.3156,117.9437,118.5433,119.1860,119.8020,120.4233,121.0374,121.6065,122.1317,122.6348,123.1356,123.6552,124.1987,124.7467,125.2764,125.8048,126.3247,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6696,133.1864,133.6954,134.2190,134.7615,135.3068,135.8417,136.3645,136.8730,137.3892,137.9203,138.4521,138.9902,139.5163,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player18OnsetTimes,110.4348,110.9624,111.4865,112.2733,112.7753,113.6855,114.2146,114.6691,115.1527,116.2683,116.8849,117.3649,118.3246,118.8605,119.2028,119.9149,120.4849,121.0055,121.4939,122.0198,122.5746,123.1356,123.6709,124.1834,124.6860,125.1990,125.7395,126.2877,126.8199,127.3506,127.8638,128.3753,128.9067,129.4457,129.9881,130.5279,131.0404,131.5512,132.0739,132.6083,133.1556,133.6954,134.2190,134.7456,135.2768,135.7958,136.3186,136.8417,137.3736,137.9052,138.4362,138.9571,139.4843,140.0116,140.5441,141.0716,141.6008,142.1376,142.6701,143.1973,143.7136,144.2482,144.7757,145.3068,145.8354
Player19OnsetTimes,108.6081,110.6929,111.5306,112.1390,112.6235,113.7494,114.4138,114.8447,115.2115,116.1143,116.7053,117.3156,117.9437,118.5433,119.1860,119.8020,120.4233,121.0374,121.6065,122.1317,122.6348,123.1356,123.6552,124.1987,124.7467,125.2764,125.8048,126.3247,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6696,133.1864,133.7188,134.2494,134.7761,135.2918,135.8113,136.3337,136.8730,137.4124,137.9359,138.4521,138.9746,139.5008,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player20OnsetTimes,108.7017,110.7839,111.5690,112.1077,112.5609,113.7494,114.4594,114.8907,115.2284,116.0679,116.6439,117.2830,117.9594,118.5744,119.2028,119.7863,120.3898,121.0211,121.6065,122.1486,122.6505,123.1356,123.6392,124.1834,124.7313,125.2764,125.8048,126.3247,126.8356,127.3506,127.8789,128.4235,128.9703,129.4923,130.0054,130.5279,131.0560,131.5986,132.1372,132.6696,133.1864,133.6954,134.2190,134.7615,135.3068,135.8417,136.3645,136.8730,137.3892,137.9203,138.4521,138.9902,139.5163,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player21OnsetTimes,108.8841,110.9782,111.6147,112.4167,112.8362,113.5567,114.0581,114.6253,115.2428,116.4598,117.0254,117.3800,118.1673,118.7080,119.1705,120.1190,120.7340,121.1003,121.4181,121.8818,122.4979,123.1670,123.7680,124.2645,124.7157,125.1829,125.7065,126.2718,126.8356,127.3833,127.8953,128.3912,128.9067,129.4457,129.9881,130.5279,131.0560,131.5827,132.1056,132.6230,133.1556,133.6954,134.2336,134.7615,135.2768,135.7958,136.3186,136.8571,137.3892,137.9203,138.4521,138.9746,139.5008,140.0268,140.5596,141.0869,141.6171,142.1376,142.6701,143.1973,143.7296,144.2637,144.7907,145.3217,145.8499
Player22OnsetTimes,108.5073,110.6163,111.5306,112.1984,112.6843,113.7494,114.3684,114.8001,115.1965,116.1617,116.7653,117.3473,117.9437,118.5275,119.1705,119.7863,120.4066,121.0374,121.6065,122.1317,122.6348,123.1356,123.6552,124.1987,124.7467,125.2764,125.8048,126.3247,126.8356,127.3664,127.8953,128.4235,128.9539,129.4767,130.0054,130.5446,131.0710,131.5986,132.1206,132.6546,133.1864,133.7188,134.2494,134.7761,135.2918,135.8113,136.3337,136.8730,137.4124,137.9359,138.4521,138.9746,139.5008,140.0422,140.5753,141.1029,141.6324,142.1529,142.6848,143.2124,143.7449,144.2795,144.8067,145.3217,145.8499
Player23OnsetTimes,110.0044,111.0404,111.5690,112.2588,112.6996,113.6364,114.2312,114.7380,115.2284,116.2521,116.8105,117.3156,118.4040,118.9841,119.2648,119.7863,120.3115,120.9065,121.5260,122.1317,122.6654,123.1356,123.6082,124.1211,124.6706,125.2448,125.8048,126.3247,126.8199,127.3192,127.8481,128.3912,128.9383,129.4767,130.0054,130.5117,131.0257,131.5512,132.0891,132.6230,133.1556,133.6804,134.2036,134.7294,135.2768,135.8113,136.3337,136.8571,137.3736,137.8892,138.4209,138.9571,139.5008,140.0268,140.5441,141.0716,141.6008,142.1376,142.6848,143.2124,143.7296,144.2482,144.7757,145.3068,145.8354
