Key,Value
BPM,60.0000
StartTime,161.6022
scoreCounter,22.0000
Alpha,High
alphaUser,0.1000
alphaAuto,0.0030
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player8OnsetTimes,162.8409,164.9527,166.1925,167.2023,168.1484,176.0420,177.7407,178.6631,179.6059,181.5936,182.7132,183.7569,184.8003,185.8393,186.8721,187.9090,188.9323,189.9583,190.9758,192.0060,193.0151,194.0515
Player9OnsetTimes,163.0591,164.6454,165.8051,166.9227,168.0257,175.6961,177.4472,178.5234,179.6059,181.7475,182.8973,183.8985,184.8786,185.8694,186.8875,187.9090,188.9323,189.9751,191.0067,192.0381,193.0472,194.0673
Player10OnsetTimes,163.9433,164.9987,165.8051,166.7808,167.8728,175.8715,177.6706,178.6631,179.6363,181.6248,182.7442,183.7883,184.8155,185.8393,186.8721,187.9090,188.9323,189.9583,190.9758,192.0060,193.0151,194.0515
Player11OnsetTimes,162.7472,164.8601,166.1435,167.1868,168.1636,175.2108,176.8949,178.1592,179.4518,181.8849,183.1020,184.0536,184.9572,185.9004,186.8875,187.9090,188.9477,189.9897,191.0067,192.0381,193.0627,194.0840
Player12OnsetTimes,163.6037,164.6615,165.6051,166.7188,167.9032,176.1095,177.9090,178.8185,179.6988,181.5788,182.6804,183.7417,184.8003,185.8538,186.8875,187.9090,188.9323,189.9583,190.9758,192.0060,193.0310,194.0515
Player13OnsetTimes,162.8256,164.9367,166.1925,167.2023,168.1484,176.0420,177.7407,178.6631,179.6059,181.5936,182.7132,183.7569,184.8003,185.8393,186.8721,187.9090,188.9323,189.9583,190.9758,192.0060,193.0151,194.0515
Player14OnsetTimes,163.4958,164.5373,165.5114,166.6713,167.8883,176.2602,178.0618,178.9134,179.7463,181.5638,182.6487,183.7113,184.7848,185.8393,186.8875,187.9255,188.9477,189.9751,190.9918,192.0060,193.0151,194.0515
Player15OnsetTimes,162.9661,164.5373,165.7276,166.8923,168.0257,175.8021,177.5487,178.5841,179.6214,181.7017,182.8359,183.8523,184.8630,185.8694,186.8875,187.9255,188.9477,189.9751,190.9918,192.0218,193.0472,194.0673
Player16OnsetTimes,162.9813,164.5685,165.7588,166.9075,168.0410,175.7134,177.4472,178.5234,179.6059,181.7475,182.8973,183.8985,184.8786,185.8694,186.8875,187.9255,188.9477,189.9751,190.9918,192.0218,193.0472,194.0673
Player17OnsetTimes,163.3076,164.8903,165.9457,166.9695,168.0097,175.6257,177.3758,178.4762,179.5749,181.7321,182.8821,183.8829,184.8630,185.8538,186.8721,187.9090,188.9477,189.9751,190.9918,192.0218,193.0472,194.0673
Player18OnsetTimes,163.6037,164.6615,165.6051,166.7188,167.9032,176.1095,177.9090,178.8185,179.6988,181.5788,182.6804,183.7417,184.8003,185.8538,186.8875,187.9090,188.9323,189.9583,190.9758,192.0060,193.0310,194.0515
