Key,Value
BPM,90.0000
StartTime,164.6992
scoreCounter,33.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player8OnsetTimes,166.8521,167.9017,168.5428,169.3453,170.2698,171.1147,171.7827,172.3269,172.8918,173.5530,174.3016,175.0706,175.8016,176.4828,177.1279,177.7751,178.4596,179.1698,179.9011,180.6122,181.2829,181.9468,182.6213,183.3198,184.0277,184.7390,185.4285,186.1064,186.7845,187.4773,188.1880,188.8865,189.5731
Player9OnsetTimes,166.0090,168.1022,169.0318,169.6933,170.2698,170.8606,171.5236,172.2611,173.0004,173.7143,174.3953,175.0556,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player10OnsetTimes,165.9620,168.0562,169.0318,169.7243,170.3010,170.8771,171.5236,172.2373,172.9854,173.7143,174.3953,175.0556,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player11OnsetTimes,166.0246,168.1173,169.0471,169.6933,170.2541,170.8446,171.5236,172.2775,173.0161,173.7143,174.3802,175.0408,175.7231,176.4182,177.1279,177.8238,178.5077,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.4136,186.1218,186.8239,187.5090,188.1880,188.8713,189.5569
Player12OnsetTimes,166.1740,168.2713,169.0788,169.6176,170.1464,170.7831,171.5392,172.3269,173.0635,173.7299,174.3633,175.0081,175.6896,176.4031,177.1279,177.8383,178.5236,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player13OnsetTimes,166.0718,168.1642,169.0471,169.6639,170.2236,170.8298,171.5236,172.2775,173.0161,173.7143,174.3802,175.0408,175.7231,176.4182,177.1279,177.8238,178.5077,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player14OnsetTimes,165.9154,168.0105,169.0167,169.7395,170.3315,170.8919,171.5089,172.2219,172.9854,173.7299,174.4119,175.0556,175.7051,176.3860,177.0951,177.8238,178.5390,179.2161,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player15OnsetTimes,165.9620,168.0562,169.0318,169.7243,170.3010,170.8771,171.5236,172.2373,172.9854,173.7143,174.3953,175.0556,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player16OnsetTimes,165.8685,167.9636,169.0011,169.7713,170.3620,170.8919,171.4932,172.2055,172.9690,173.7143,174.4119,175.0706,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player17OnsetTimes,166.1288,168.2249,169.0788,169.6487,170.1769,170.7984,171.5236,172.2939,173.0477,173.7299,174.3633,175.0081,175.6896,176.4031,177.1279,177.8383,178.5236,179.1846,179.8631,180.5504,181.2522,181.9616,182.6691,183.3523,184.0277,184.7085,185.3975,186.1064,186.8239,187.5090,188.1880,188.8713,189.5569
Player18OnsetTimes,166.8687,167.9169,168.5277,169.3140,170.2541,171.1147,171.7984,172.3424,172.8918,173.5376,174.2857,175.0706,175.8166,176.4828,177.1125,177.7607,178.4596,179.1846,179.9011,180.5975,181.2829,181.9616,182.6366,183.3198,184.0277,184.7390,185.4285,186.1064,186.7845,187.4773,188.1880,188.8865,189.5731
Player19OnsetTimes,165.8685,167.9636,169.0011,169.7713,170.3620,170.8919,171.4932,172.2055,172.9690,173.7143,174.4119,175.0706,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
Player20OnsetTimes,165.9463,168.0404,169.0167,169.7243,170.3163,170.8919,171.5236,172.2373,172.9854,173.7143,174.3953,175.0556,175.7231,176.4031,177.1125,177.8238,178.5236,179.2000,179.8858,180.5651,181.2522,181.9468,182.6526,183.3523,184.0447,184.7237,185.4136,186.1064,186.8065,187.4928,188.1880,188.8865,189.5731
