Key,Value
BPM,60.0000
StartTime,202.6151
scoreCounter,20.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player10OnsetTimes,203.9770,206.0927,207.4286,208.4508,209.3810,210.3474,211.4009,212.5162,213.6445,214.7291,215.7166,216.6750,217.6533,218.6695,219.7043,220.7383,221.7508,222.7538,223.7491,224.7571
Player11OnsetTimes,204.1373,206.2262,207.4443,208.3574,209.2725,210.2953,211.4324,212.5814,213.6744,214.7135,215.6687,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player12OnsetTimes,205.3563,205.8807,206.8500,208.0130,209.3487,210.6253,211.7065,212.6137,213.5032,214.5081,215.5925,216.7065,217.7702,218.7525,219.7043,220.6763,221.6878,222.7320,223.7798,224.8029
Player13OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player14OnsetTimes,204.0405,206.1396,207.4286,208.4039,209.3334,210.3321,211.4173,212.5484,213.6592,214.7135,215.6850,216.6597,217.6688,218.7025,219.7356,220.7383,221.7341,222.7320,223.7491,224.7725
Player15OnsetTimes,205.3717,205.8970,206.8500,207.9972,209.3334,210.6253,211.7065,212.6137,213.5032,214.5081,215.5925,216.7065,217.7702,218.7525,219.7043,220.6763,221.6878,222.7320,223.7798,224.8029
Player16OnsetTimes,204.2011,206.2900,207.4598,208.3242,209.2261,210.2805,211.4488,212.6137,213.7129,214.7291,215.6534,216.6119,217.6370,218.7025,219.7517,220.7535,221.7341,222.7166,223.7329,224.7725
Player17OnsetTimes,204.6158,206.1779,207.0392,207.9810,209.1934,210.5012,211.6906,212.6987,213.6126,214.5550,215.5622,216.6438,217.7384,218.7848,219.7681,220.7232,221.6878,222.7017,223.7491,224.8029
Player18OnsetTimes,203.8269,205.9297,207.3827,208.5213,209.4887,210.4089,211.3839,212.4555,213.5824,214.7135,215.7502,216.7225,217.6917,218.6695,219.6887,220.7232,221.7508,222.7685,223.7647,224.7725
Player19OnsetTimes,203.8269,205.9297,207.3827,208.5213,209.4887,210.4089,211.3839,212.4555,213.5824,214.7135,215.7502,216.7225,217.6917,218.6695,219.6887,220.7232,221.7508,222.7685,223.7647,224.7725
