Key,Value
BPM,120.0000
StartTime,198.9727
scoreCounter,81.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player18OnsetTimes,202.2344,202.7535,203.2833,204.2445,204.8742,205.2283,206.1163,206.7012,207.2230,207.8800,209.2359,209.8421,210.1221,210.6988,211.6744,212.4218,212.8996,213.5841,214.0235,215.0143,215.7144,216.1344,216.8473,217.3703,218.4131,219.0803,219.4588,220.1946,220.7979,221.9616,222.6181,222.8620,223.3292,224.4208,225.0331,225.3319,225.9659,226.5453,227.1226,228.3377,228.9636,229.2441,229.7462,230.7128,231.2622,231.5743,232.1682,232.7273,233.2664,233.7856,234.3080,234.8447,235.3823,235.9184,236.4626,236.9926,237.5247,238.0566,238.5922,239.1300,239.6567,240.1784,240.7055,241.2328,241.7586,242.2943,242.8220,243.3407,243.8643,244.3971,244.9341,245.4615,245.9865,246.5026,247.0208,247.5517,248.0910,248.6261,249.1575,249.6748,250.1914
Player19OnsetTimes,200.2861,202.9079,203.7290,204.1190,204.4365,205.3688,206.0101,206.9996,207.6140,208.0591,208.8673,209.3624,209.9216,211.2169,211.8732,212.2707,212.9773,213.4393,214.2260,214.8410,215.4016,216.5297,217.1341,217.3863,218.0201,218.6941,219.3669,220.7033,221.3899,221.6253,222.1042,223.0944,223.7189,224.1113,224.7967,225.3319,225.8418,227.0297,227.7115,227.9908,228.4183,229.4972,230.1530,230.4746,231.0164,231.5142,231.9991,232.6197,233.2978,233.9109,234.4208,234.8763,235.3515,235.8867,236.4626,237.0388,237.5879,238.1020,238.6076,239.1147,239.6414,240.1935,240.7370,241.2637,241.7918,242.3096,242.8220,243.3560,243.8964,244.4286,244.9497,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player20OnsetTimes,200.2701,202.8925,203.7290,204.1190,204.4365,205.3688,206.0101,207.0150,207.6295,208.0747,208.8673,209.3448,209.9068,211.2328,211.9032,212.2858,212.9306,213.3783,214.2260,214.8892,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player21OnsetTimes,202.4219,202.9396,203.4773,203.8112,204.7653,205.4314,206.1791,206.6198,207.5674,208.2766,208.7070,209.3300,209.9975,210.6637,211.8417,212.6224,212.9773,213.3623,214.1177,214.7782,215.4016,216.0039,217.1812,217.8139,218.0985,218.8029,219.3981,220.5476,221.1899,221.5159,222.2588,222.8323,223.3292,224.4675,225.0815,225.3465,225.9191,227.0605,227.6656,227.8998,228.5847,229.1819,229.7128,230.2495,230.8274,231.4824,232.1072,232.7428,233.3294,233.8492,234.3409,234.8447,235.3668,235.9184,236.4786,237.0228,237.5560,238.0717,238.5922,239.1300,239.6721,240.2101,240.7370,241.2484,241.7741,242.3096,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5192,247.0360,247.5679,248.1074,248.6420,249.1732,249.6899,250.2072
Player22OnsetTimes,200.2701,202.8925,203.7290,204.1190,204.4365,205.3688,206.0101,207.0150,207.6295,208.0747,208.8673,209.3448,209.9068,211.2328,211.9032,212.2858,212.9306,213.3783,214.2260,214.8892,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player23OnsetTimes,200.5465,202.6452,203.2833,203.8571,204.4973,205.1502,206.3342,206.9996,207.3933,207.8484,208.9906,209.6440,210.1221,211.0268,211.5491,212.0934,212.6903,213.8973,214.5097,214.8100,215.5241,216.1187,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1585,221.8231,222.2433,222.9692,223.4984,223.9862,225.0175,225.6531,226.0133,226.7507,227.3121,227.7925,228.8175,229.5126,229.8862,230.5101,230.9864,231.4671,231.9991,232.6657,233.3451,233.9420,234.4367,234.8763,235.3515,235.8867,236.4786,237.0707,237.6190,238.1173,238.6076,239.1147,239.6567,240.2265,240.7679,241.2798,241.7918,242.3096,242.8387,243.3716,243.8964,244.4286,244.9657,245.4921,246.0175,246.5345,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player24OnsetTimes,200.5952,202.6914,203.2988,203.8418,204.4671,205.1350,206.3820,207.0623,207.4263,207.8325,208.9291,209.5827,210.1069,211.0907,211.6123,212.1094,212.6585,213.8317,214.4629,214.8100,215.5878,216.1819,216.6591,217.6901,218.3663,218.8330,219.6931,220.2592,221.1585,221.7164,222.1354,223.0156,223.6259,224.0798,224.9245,225.4860,225.9039,226.8771,227.5109,227.8998,228.6153,229.2282,229.7617,230.2823,230.8437,231.4824,232.1228,232.7729,233.3780,233.8954,234.3562,234.8447,235.3823,235.9491,236.5086,237.0542,237.5879,238.1020,238.6225,239.1468,239.6870,240.2265,240.7531,241.2798,241.8067,242.3254,242.8552,243.3866,243.9128,244.4286,244.9497,245.4767,246.0175,246.5496,247.0677,247.5834,248.1074,248.6420,249.1732,249.7055,250.2390
Player25OnsetTimes,200.9662,202.5499,203.2053,203.8418,204.5428,205.2125,206.3342,206.9522,207.3466,207.8325,209.0358,209.6891,210.1385,210.9658,211.4665,212.0466,212.7066,213.9755,214.5723,214.8100,215.4322,216.0205,217.1974,217.8311,218.1137,218.8330,219.4427,220.5633,221.1899,221.5159,222.2903,222.8775,223.3602,224.4521,225.0665,225.3614,225.9810,226.5621,227.1383,228.3693,228.9956,229.2742,229.7617,230.2495,230.8114,231.4671,232.1228,232.7896,233.3780,233.8801,234.3409,234.8281,235.3668,235.9491,236.5244,237.0707,237.5879,238.0872,238.5922,239.1300,239.6870,240.2447,240.7679,241.2637,241.7741,242.2943,242.8387,243.3866,243.9128,244.4286,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player26OnsetTimes,200.1612,202.7852,203.6972,204.1656,204.5127,205.3846,205.9642,206.9352,207.5821,208.0902,208.9586,209.4251,209.9216,211.1235,211.7814,212.2536,212.6738,213.6300,214.2419,214.7297,215.8227,216.4689,216.7703,217.3703,217.9570,219.3308,220.0506,220.2592,220.7979,221.8846,222.5564,222.8620,223.4521,224.0021,224.5455,225.7782,226.4637,226.7325,227.1712,228.1445,228.7401,229.1665,229.5928,230.7128,231.3874,231.7154,232.1529,232.6197,233.1691,233.7705,234.3722,234.9236,235.4284,235.9184,236.4312,236.9763,237.5405,238.1020,238.6380,239.1468,239.6567,240.1784,240.7203,241.2637,241.8067,242.3254,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5192,247.0360,247.5679,248.1074,248.6420,249.1732,249.6899,250.2072
Player27OnsetTimes,200.6907,202.7852,203.3140,203.7810,204.4037,205.8382,206.5096,206.6679,207.1740,207.8633,208.5923,209.8575,210.6277,210.9192,211.3426,212.5622,213.2960,213.5524,214.0235,215.0903,215.7909,216.1654,216.8011,217.3229,218.4594,219.1879,219.5377,220.1327,221.2352,221.8691,222.2115,222.8478,223.3913,223.9527,224.5302,225.8239,226.5260,226.7657,227.1226,228.0516,228.6772,229.1665,229.6382,230.7458,231.3874,231.6836,232.1228,232.6197,233.2018,233.8174,234.3884,234.9079,235.3975,235.9029,236.4461,237.0079,237.5560,238.0872,238.6076,239.1300,239.6567,240.1935,240.7203,241.2484,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
